pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
63,"MBAKWE T. (C)
Brose Baskets",33,780:04:00,347,118,167,70.70%,0,0,0.00%,118,167,70.70%,111,137,81.00%,160,72,232,34,21,52,49,105,556,215,4
74,"MASSENAT F. (PG)
Mitteldeutscher BC",34,884:51:00,343,68,125,54.40%,49,134,36.60%,117,259,45.20%,60,80,75.00%,57,10,67,134,24,68,6,84,344,2,0
77,"ALLEN D. (PF)
Basketball Löwen Braunschweig",34,688:32:00,342,140,244,57.40%,0,1,0.00%,140,245,57.10%,62,103,60.20%,101,44,145,33,14,53,6,62,341,-68,2
62,"RAMSEY K. (PF)
Phoenix Hagen",32,975:17:00,339,135,200,67.50%,12,53,22.60%,147,253,58.10%,33,68,48.50%,147,51,198,70,43,64,34,96,479,-123,1
69,"STRELNIEKS J. (PG)
Brose Baskets",33,876:01:00,338,55,97,56.70%,60,143,42.00%,115,240,47.90%,48,55,87.30%,71,4,75,88,14,43,3,61,343,293,0
70,"THEIS D. (PF)
Brose Baskets",33,675:39:00,337,93,160,58.10%,21,60,35.00%,114,220,51.80%,88,105,83.80%,130,40,170,43,22,41,42,107,450,340,1
52,"JENKINS J. (SG)
EWE Baskets Oldenburg",30,692:37:00,336,52,123,42.30%,55,138,39.90%,107,261,41.00%,67,87,77.00%,30,7,37,72,14,35,2,55,252,26,0
29,"HARRIS R. (PG)
TBB Trier",26,607:28:00,333,54,108,50.00%,45,124,36.30%,99,232,42.70%,90,120,75.00%,65,7,72,42,20,48,1,44,257,-79,0
78,"VILHJALMSSON H. (PG)
Mitteldeutscher BC",33,844:10:00,332,57,120,47.50%,48,148,32.40%,105,268,39.20%,74,88,84.10%,49,12,61,78,28,55,2,74,269,-53,0
82,"RATKOVICA B. (PG)
WALTER Tigers Tübingen",34,1070:36:00,328,60,112,53.60%,47,141,33.30%,107,253,42.30%,67,94,71.30%,88,9,97,246,38,110,4,109,430,-140,1
24,"WARE C. (PG)
EWE Baskets Oldenburg",25,654:59:00,327,56,122,45.90%,52,161,32.30%,108,283,38.20%,59,72,81.90%,64,14,78,58,20,55,2,61,242,-47,0
81,"ANDERSON J. (PG)
TBB Trier",33,976:35:00,326,74,149,49.70%,40,104,38.50%,114,253,45.10%,58,65,89.20%,84,11,95,85,16,42,2,61,336,-210,0
72,"NIXON F. (PG)
Phoenix Hagen",32,835:45:00,325,73,165,44.20%,37,107,34.60%,110,272,40.40%,68,87,78.20%,43,11,54,107,44,63,3,65,289,-167,0
13,"COBBS J. (PG)
FRAPORT SKYLINERS",23,797:10:00,324,83,179,46.40%,20,62,32.30%,103,241,42.70%,98,121,81.00%,54,6,60,104,13,67,0,52,273,83,0
73,"STANDHARDINGER C. (SF)
Mitteldeutscher BC",32,704:40:00,324,104,227,45.80%,6,43,14.00%,110,270,40.70%,98,145,67.60%,93,58,151,22,19,36,4,70,277,-72,0
84,"HILL L. (PF)
Artland Dragons",34,814:29:00,323,62,127,48.80%,55,135,40.70%,117,262,44.70%,34,60,56.70%,136,42,178,57,27,49,25,90,390,16,2
89,"OTULE C. (C)
Crailsheim Merlins",33,659:39:00,304,118,193,61.10%,0,1,0.00%,118,194,60.80%,68,128,53.10%,85,74,159,14,10,45,25,69,331,-99,1
93,"PANTELIC D. (C)
Mitteldeutscher BC",34,848:32:00,301,86,155,55.50%,21,75,28.00%,107,230,46.50%,66,90,73.30%,183,45,228,68,24,40,55,88,489,21,4
59,"WILLIAMS L. (PG)
Eisbären Bremerhaven",28,876:22:00,300,63,140,45.00%,36,102,35.30%,99,242,40.90%,66,75,88.00%,62,15,77,164,36,54,3,54,374,-51,2
